Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
39560,0.24556,2.15505,0.3485,2.06196
77975,0.41766,1.7013,0.4642,1.55909
117832,0.5036,1.42336,0.536,1.33744
155425,0.5645,1.252,0.5852,1.20767
195765,0.6086,1.13331,0.6152,1.11624
233437,0.63734,1.04768,0.6367,1.05968
273820,0.6614,0.979945,0.6486,1.00773
311305,0.68254,0.921701,0.6686,0.961517
351825,0.69934,0.873884,0.6789,0.929851
389757,0.71284,0.834302,0.689,0.89918
427638,0.72642,0.799236,0.6972,0.878802
463377,0.7358,0.769514,0.7044,0.863219
501105,0.74758,0.738311,0.7053,0.843205
536456,0.7565,0.713086,0.7085,0.838115
574127,0.76508,0.690316,0.7187,0.817728
