Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
74434,0.3009,1.97988,0.4259,1.81152
146900,0.53652,1.29833,0.5971,1.15022
219702,0.64116,1.023,0.6582,0.987829
292327,0.69754,0.871644,0.6841,0.911721
365164,0.73236,0.772595,0.7064,0.849194
438076,0.7623,0.695406,0.7153,0.831182
511031,0.78258,0.635286,0.7288,0.793388
583711,0.80262,0.582969,0.736,0.773242
656832,0.8182,0.538153,0.7407,0.77273
729979,0.83158,0.500026,0.7367,0.773906
802973,0.84516,0.46538,0.7384,0.77149
876191,0.85644,0.432035,0.7428,0.773877
948823,0.86876,0.402818,0.7407,0.778149
1021405,0.87968,0.374729,0.7399,0.807704
1094542,0.88956,0.346624,0.7435,0.810604
