Duration, Accuracy, Sample_Mean_loss, Total_comm_time
114407,0.29954,2.04452,41.6762
224977,0.38592,1.76891,81.0239
337390,0.45416,1.52843,122.28
446099,0.5322,1.31199,160.279
555014,0.58784,1.16753,200.59
665284,0.62638,1.06754,238.889
782498,0.65694,0.979945,283.151
898434,0.6771,0.927727,323.289
1018409,0.69922,0.865465,364.532
1134387,0.71414,0.828392,406.242
1243899,0.73204,0.779511,446.884
1350699,0.7391,0.754527,484.923
1462810,0.75032,0.721229,526.681
1574049,0.75784,0.702482,566.564
1683923,0.76758,0.676703,607.069
