Duration, Accuracy, Sample_Mean_loss, Total_comm_time
101384,0.32812,1.91761,17.9361
202598,0.45636,1.55908,27.8382
291324,0.5146,1.40619,37.0837
379681,0.54954,1.31083,46.8355
477725,0.57816,1.23128,61.9758
575343,0.59742,1.17094,73.6848
669131,0.6162,1.12039,84.5814
761541,0.6386,1.05568,95.058
853594,0.64946,1.02563,108.124
944184,0.66438,0.978593,119.719
1036924,0.67714,0.937615,131.73
1126130,0.6856,0.911129,141.647
1218891,0.70282,0.866038,156.117
1324659,0.70998,0.842366,169.494
1418448,0.72178,0.810008,181.712
