Duration, Accuracy, Sample_Mean_loss, Total_comm_time
43308,0.25874,2.06182,16.3771
88226,0.40508,1.67666,31.9916
133792,0.46234,1.50393,47.2846
179124,0.49388,1.41369,64.319
224510,0.51892,1.35021,79.3478
269497,0.53732,1.29801,94.8071
315302,0.55928,1.24583,109.92
359964,0.57182,1.21846,124.991
406007,0.58416,1.18733,142.344
451177,0.59286,1.15138,163.129
496531,0.6005,1.13481,183.384
542629,0.61302,1.10207,203.953
588562,0.61772,1.08539,223.707
634549,0.62184,1.06682,239.388
680040,0.63336,1.04517,254.755
