Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
34856,0.23068,2.19187,0.3671,2.11127
68334,0.42106,1.7418,0.4667,1.567
102996,0.50824,1.42514,0.5316,1.34263
136540,0.56424,1.24926,0.575,1.21369
176325,0.60618,1.13149,0.6137,1.11038
211380,0.63546,1.04989,0.6382,1.05072
245685,0.65956,0.979922,0.6521,1.01042
280398,0.67924,0.924367,0.6667,0.963468
320569,0.6971,0.876788,0.6718,0.946581
355859,0.71024,0.838162,0.6898,0.903406
391383,0.7262,0.79938,0.6949,0.883436
426998,0.73684,0.770543,0.7003,0.865494
468123,0.74694,0.741572,0.7081,0.84894
503188,0.75736,0.711715,0.7107,0.841738
538439,0.76556,0.688815,0.715,0.820466
