Duration, Accuracy, Sample_Mean_loss, Total_comm_time
45717,0.38154,1.74992,5.09724
92147,0.54224,1.30224,9.36514
135580,0.60048,1.14554,13.498
178402,0.64216,1.03522,17.7043
222362,0.66112,0.97835,22.4881
267375,0.681,0.925973,27.466
311959,0.6982,0.875755,31.6236
355453,0.71076,0.842058,36.1927
400002,0.72344,0.80389,41.5295
443547,0.73196,0.783255,45.8799
486990,0.73792,0.760883,50.0399
532186,0.7482,0.727418,54.3175
576684,0.74842,0.724063,59.2912
619070,0.75518,0.705525,63.6644
662051,0.76342,0.68386,68.1787
