Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
34100,0.17388,2.24953,0.3541,2.16479
66875,0.41804,1.85417,0.4792,1.67644
99453,0.51918,1.47793,0.5412,1.36272
132145,0.57676,1.23572,0.589,1.18236
170125,0.62512,1.07438,0.6383,1.03842
205519,0.6739,0.943938,0.667,0.958998
239945,0.70632,0.850437,0.6861,0.903033
274609,0.73004,0.781427,0.7017,0.861491
314612,0.75282,0.719016,0.7158,0.824714
351913,0.7735,0.66466,0.7263,0.804558
387720,0.78978,0.621483,0.7309,0.786512
422313,0.80164,0.584684,0.7341,0.773944
461305,0.81424,0.551234,0.7378,0.76532
497123,0.82592,0.521011,0.7416,0.759858
533144,0.83674,0.491954,0.744,0.757458
