Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
50585,0.26084,2.07336,0.3716,1.95531
98638,0.51142,1.37983,0.5739,1.20191
150356,0.62854,1.06173,0.6417,1.01505
197772,0.68634,0.901391,0.6813,0.910613
248192,0.72376,0.799713,0.698,0.863203
293769,0.75172,0.724395,0.7091,0.83175
342266,0.77046,0.670318,0.7233,0.798615
387727,0.79006,0.616242,0.7349,0.777058
436086,0.80678,0.5715,0.7405,0.762658
481696,0.81872,0.537172,0.7404,0.766528
530686,0.83134,0.502943,0.7398,0.766977
576027,0.84364,0.471997,0.7394,0.768879
624340,0.8548,0.442604,0.7408,0.769537
669673,0.8655,0.415692,0.7406,0.779466
717799,0.87454,0.388328,0.7381,0.787878
