Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
98982,0.11972,2.29658,0.106,2.29591
191373,0.12344,2.28888,0.121,2.26951
283133,0.13384,2.25363,0.1547,2.2317
371753,0.18054,2.21337,0.192,2.19962
475095,0.2321,2.16344,0.2412,2.14632
579641,0.27076,2.10303,0.2887,2.07874
680316,0.30684,2.0292,0.3078,2.01108
777516,0.33038,1.96548,0.3344,1.94081
891192,0.3681,1.87825,0.3756,1.84586
993908,0.3938,1.81037,0.3989,1.78371
1092001,0.43032,1.70881,0.4303,1.67541
1190593,0.4576,1.61041,0.4455,1.63109
1303689,0.47978,1.53501,0.4728,1.53049
1399454,0.51,1.44019,0.5088,1.42782
1492172,0.53388,1.36224,0.5223,1.39403
