Duration, Accuracy, Sample_Mean_loss, Total_comm_time
48979,0.30214,2.01608,10.9925
95299,0.41022,1.68211,20.4491
145346,0.49696,1.44163,31.0478
193759,0.55646,1.25886,41.1304
241162,0.60404,1.13453,51.1329
288339,0.63562,1.04386,60.3481
335897,0.66254,0.977715,70.1793
383352,0.68398,0.911798,80.0686
430632,0.69826,0.873441,89.9255
478945,0.71112,0.833757,99.5185
527207,0.72554,0.790103,109.906
574136,0.73506,0.763487,118.862
621096,0.7454,0.738632,128.895
668015,0.754,0.715057,138.224
714871,0.76308,0.690726,147.847
