Duration, Accuracy, Sample_Mean_loss, Total_comm_time
181675,0.26988,2.12447,112.547
359886,0.38224,1.75042,225.275
537593,0.4897,1.4287,333.036
724974,0.5609,1.23968,449.578
906438,0.61006,1.11089,563.132
1081982,0.6441,1.01723,672.96
1250423,0.67204,0.939192,777.197
1411779,0.69252,0.882914,876.735
1571368,0.70992,0.831071,974.572
1732372,0.72654,0.786592,1072.82
1892929,0.73884,0.752089,1171.56
2053307,0.74958,0.726216,1270.47
2213776,0.7632,0.685924,1369.38
2390556,0.76992,0.661806,1480.76
2572807,0.77848,0.640836,1595.81
