Duration, Accuracy, Sample_Mean_loss, Total_comm_time
98747,0.35334,1.83816,10.763
197682,0.48502,1.47523,19.9657
301205,0.5387,1.32941,29.548
400054,0.57024,1.24471,39.6683
514812,0.6021,1.1641,54.4048
624328,0.61262,1.12972,66.1913
728450,0.63218,1.07645,78.6532
825972,0.64448,1.04361,90.2725
920630,0.65802,1.00512,103.679
1014877,0.6704,0.973101,114.99
1104351,0.68182,0.942186,125.849
1196499,0.6871,0.924259,135.992
1290064,0.69546,0.901342,147.547
1381427,0.70756,0.8691,157.252
1472143,0.71022,0.852154,166.459
