Duration, Accuracy, Sample_Mean_loss, Total_comm_time
89829,0.3712,1.76232,9.26607
184728,0.53418,1.32698,21.653
278144,0.59266,1.17276,32.7178
370317,0.63028,1.06595,43.8732
464854,0.65988,0.989018,55.8
571881,0.66948,0.962552,69.9382
675242,0.69212,0.899388,82.4472
775204,0.7027,0.865646,94.7502
882760,0.71412,0.833465,110.098
985203,0.71636,0.827758,123.464
1087664,0.72454,0.80457,133.813
1189771,0.73584,0.773058,144.601
1292702,0.73268,0.781119,157.901
1392486,0.74382,0.747836,169.22
1489521,0.7514,0.728548,183.879
