Duration, Accuracy, Sample_Mean_loss, Total_comm_time
37200,0.35512,1.80072,6.3874
73556,0.54638,1.27507,12.2164
110018,0.6294,1.04102,18.0612
146001,0.69298,0.871206,23.8949
181859,0.73762,0.748828,29.7558
219302,0.7736,0.646228,36.5308
255862,0.81198,0.540594,42.6378
292082,0.84826,0.445459,48.4886
328131,0.8848,0.35015,54.3655
364338,0.91854,0.262231,60.2362
400413,0.95084,0.180756,66.0708
436697,0.976,0.111395,72.0141
472873,0.99026,0.0637954,77.8358
510136,0.99754,0.033654,83.6396
549672,0.9994,0.0173438,89.4735
