Duration, Accuracy, Sample_Mean_loss, Total_comm_time
35465,0.32412,1.99139,4.59198
70213,0.44412,1.61586,8.0453
106018,0.51136,1.39943,11.5419
140736,0.55782,1.25744,14.9285
176983,0.59668,1.15511,18.9634
213547,0.6191,1.08704,22.4134
248802,0.64126,1.02894,25.9044
284391,0.65776,0.976264,29.4205
321315,0.67866,0.923681,33.4084
357988,0.69192,0.886087,36.9462
394481,0.7018,0.8565,40.4485
431189,0.7162,0.823692,43.9586
468888,0.7211,0.803055,48.0692
505171,0.7333,0.767168,51.4944
541027,0.73974,0.754352,54.9251
