Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
44844,0.1116,2.29754,0.142,2.28726
85961,0.16946,2.23458,0.1787,2.21017
126680,0.21366,2.14349,0.2451,2.09467
167885,0.28958,2.01115,0.3327,1.94749
214573,0.37798,1.84781,0.4163,1.7603
256524,0.45342,1.66705,0.4778,1.57496
299143,0.5097,1.49928,0.5212,1.44611
341645,0.55364,1.36185,0.5525,1.32594
390402,0.58716,1.24127,0.5871,1.21734
432483,0.61652,1.14223,0.6184,1.12419
475362,0.64312,1.05249,0.6305,1.05826
519888,0.66554,0.978917,0.648,1.00581
572473,0.6883,0.912233,0.6713,0.948368
615797,0.7074,0.851886,0.688,0.903412
658134,0.72506,0.802197,0.6988,0.873111
