Duration, Accuracy, Sample_Mean_loss, Total_comm_time
114305,0.33434,1.89286,42.6169
220691,0.48158,1.4584,83.4352
329029,0.55842,1.2535,125.297
434266,0.63252,1.05606,162.188
549996,0.67656,0.925917,208.036
661747,0.71262,0.824645,248.957
784214,0.73884,0.755917,295.476
894263,0.75868,0.698164,336.21
1003472,0.77292,0.653878,377.311
1109155,0.78774,0.614624,414.768
1219482,0.79522,0.588724,456.06
1332032,0.81072,0.551932,496.365
1442634,0.81792,0.525476,538.803
1550140,0.8257,0.503008,577.249
1656047,0.83718,0.474538,618.474
