Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
178640,0.20776,2.2572,0.2818,2.26728
354058,0.2803,2.08404,0.3123,2.00017
526668,0.32192,1.8994,0.3516,1.82448
697004,0.3699,1.76018,0.3956,1.70327
867921,0.41222,1.64738,0.4316,1.59286
1038865,0.44454,1.54807,0.4648,1.50038
1208552,0.4782,1.46041,0.4859,1.42171
1380476,0.50852,1.38158,0.5243,1.3501
1549859,0.53852,1.30948,0.5519,1.27799
1718672,0.56348,1.24576,0.5726,1.23478
1889679,0.5835,1.1932,0.5823,1.18266
2055089,0.60048,1.14447,0.5911,1.15608
2219995,0.6153,1.10294,0.6179,1.1073
2388361,0.6305,1.06401,0.6186,1.09147
2555740,0.64422,1.02745,0.628,1.07503
