Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
51228,0.18374,2.25696,0.2753,2.2505
97963,0.3156,2.06279,0.3459,1.97375
149127,0.35966,1.87025,0.3896,1.79255
195776,0.39674,1.72802,0.4241,1.66134
246292,0.43398,1.59925,0.4511,1.54682
293244,0.45974,1.51314,0.4727,1.47885
344172,0.48588,1.44144,0.4995,1.4122
390921,0.5106,1.38128,0.5224,1.35586
441129,0.53462,1.32532,0.5416,1.30303
487530,0.55176,1.27442,0.5551,1.26549
537897,0.56972,1.22623,0.5707,1.22043
584555,0.58622,1.18574,0.5775,1.19488
634645,0.60056,1.14679,0.5969,1.15754
684320,0.6115,1.11259,0.6053,1.12213
736451,0.62212,1.08153,0.6113,1.09785
