Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
34840,0.17058,2.26995,0.2665,2.23296
67817,0.30666,2.09557,0.3343,2.00498
100202,0.35094,1.91508,0.3722,1.84797
134722,0.38916,1.76761,0.4123,1.71379
176310,0.42378,1.6517,0.447,1.60932
210653,0.45026,1.56814,0.4677,1.53136
245545,0.47358,1.49519,0.4903,1.46478
280553,0.49986,1.42907,0.506,1.40747
317454,0.52076,1.37446,0.5235,1.35332
349689,0.53834,1.32402,0.5399,1.31516
384594,0.55652,1.27837,0.5561,1.2696
418798,0.57004,1.23773,0.5677,1.23841
458668,0.58202,1.20278,0.5761,1.206
493422,0.59578,1.16606,0.5891,1.174
527417,0.6044,1.13667,0.5961,1.14328
