Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
72920,0.19166,2.25084,0.2801,2.23989
145424,0.29864,2.04946,0.3242,1.95488
218090,0.34092,1.85945,0.3626,1.79619
290771,0.39118,1.72112,0.4061,1.66729
363321,0.42584,1.61095,0.4401,1.57671
436145,0.45942,1.51592,0.4648,1.482
509233,0.48332,1.44597,0.496,1.41089
581759,0.5147,1.37366,0.523,1.34948
654005,0.53804,1.3159,0.5415,1.30077
726614,0.55742,1.25936,0.5558,1.25862
799245,0.57354,1.21344,0.5649,1.23197
872342,0.5922,1.16901,0.5813,1.19758
945267,0.60666,1.1298,0.5881,1.15769
1017794,0.61876,1.09518,0.6104,1.11532
1090012,0.62962,1.06401,0.6109,1.10264
