Duration,Accuracy,Sample_Mean_loss
175364,0.2152,2.25158
350754,0.2806,2.08128
523405,0.31186,1.91819
693791,0.36072,1.78568
864840,0.40542,1.66449
1035670,0.43762,1.56656
1205462,0.46912,1.48365
1377360,0.50238,1.40691
1546485,0.5242,1.34678
1715465,0.54374,1.29618
1886417,0.56512,1.2366
2052228,0.57982,1.18962
2216798,0.59676,1.14281
2385275,0.61366,1.10502
2553426,0.6219,1.07179
