Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
123119,0.18662,2.282,0.2698,2.28407
233233,0.2991,2.13212,0.3117,2.0387
352853,0.32196,1.92095,0.3468,1.83836
459161,0.37454,1.76275,0.4067,1.69652
575053,0.42026,1.63586,0.441,1.56755
680082,0.4545,1.53384,0.4617,1.48513
794227,0.48376,1.44234,0.5037,1.39866
899226,0.51694,1.36288,0.5262,1.34863
1015659,0.54118,1.29645,0.5497,1.27287
1121847,0.5611,1.23672,0.5719,1.21527
1236023,0.58174,1.18304,0.583,1.18247
1341756,0.60192,1.13695,0.5997,1.15117
1449927,0.61518,1.0945,0.6166,1.11257
1550015,0.63118,1.05607,0.6287,1.07372
1652002,0.6425,1.02142,0.6361,1.04565
