Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
51322,0.18072,2.27453,0.2736,2.26784
98362,0.29864,2.11755,0.3394,2.01825
143474,0.36036,1.89601,0.3939,1.80405
187691,0.40538,1.72662,0.4213,1.66226
237658,0.43984,1.60369,0.4562,1.53422
281287,0.46976,1.50189,0.4834,1.45853
325317,0.4979,1.421,0.5022,1.39163
369351,0.52058,1.35591,0.5341,1.33554
420431,0.54198,1.29986,0.5549,1.27568
464916,0.5624,1.24877,0.5607,1.2396
510372,0.57856,1.20298,0.5812,1.19711
555184,0.59442,1.16184,0.5869,1.17534
606883,0.60678,1.12731,0.6008,1.14161
651386,0.61858,1.0937,0.6109,1.10357
696006,0.63162,1.05852,0.618,1.07771
