Duration,Accuracy,Sample_Mean_loss
104393,0.2546,2.22773
204211,0.2709,2.13763
303885,0.30148,1.98402
402659,0.33376,1.83736
502637,0.38582,1.70931
599130,0.42134,1.60639
694365,0.44996,1.52282
797747,0.48262,1.44468
900225,0.50484,1.38631
995608,0.53164,1.31507
1095710,0.54872,1.26889
1193528,0.56608,1.22368
1297978,0.5835,1.17464
1392556,0.59648,1.14119
1484587,0.61098,1.1052
