Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
38137,0.20546,2.23189,0.3041,2.20314
74520,0.32478,2.02774,0.347,1.9526
113153,0.36368,1.86017,0.39,1.78394
149816,0.40082,1.72372,0.4167,1.67956
189785,0.43194,1.62569,0.4518,1.57818
226570,0.46102,1.54025,0.4742,1.50888
268042,0.48452,1.47004,0.4987,1.44639
305974,0.50446,1.41015,0.5131,1.39186
345203,0.52666,1.35584,0.5286,1.3402
381949,0.54168,1.30949,0.5497,1.30162
420818,0.56098,1.26581,0.5655,1.25616
457305,0.57266,1.22489,0.5665,1.22879
496537,0.58612,1.18747,0.5755,1.20737
533242,0.5962,1.15766,0.5942,1.16075
572253,0.60676,1.12828,0.603,1.14014
