Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
109268,0.14864,2.28778,0.2004,2.29174
207446,0.25154,2.17803,0.2879,2.09509
300528,0.3037,1.98894,0.324,1.89859
398106,0.34132,1.82329,0.3718,1.76003
506356,0.39238,1.69555,0.4204,1.62118
601268,0.43076,1.57996,0.4445,1.53783
695450,0.45944,1.49546,0.4741,1.45728
792450,0.48952,1.41838,0.5066,1.37792
905423,0.52022,1.34389,0.5241,1.32103
998217,0.5473,1.27704,0.5589,1.25287
1094955,0.56748,1.22467,0.5612,1.23385
1189338,0.58534,1.17963,0.5832,1.17359
1302941,0.59864,1.13721,0.5963,1.13557
1394480,0.61756,1.09522,0.6042,1.11987
1483346,0.63136,1.05995,0.6211,1.0771
