Duration,Accuracy,Sample_Mean_Loss,Test_Accuracy,Test_Mean_loss
17144,0.876417,0.475133,0.9691,0.105133
34972,0.975883,0.0807169,0.9809,0.0592252
53122,0.98285,0.0545324,0.9861,0.044804
70837,0.987117,0.0424073,0.9855,0.0430332
89407,0.989483,0.035046,0.9875,0.0371927
106314,0.991183,0.0290796,0.9866,0.0366472
122808,0.992083,0.0258747,0.9891,0.032231
141144,0.992933,0.0224114,0.9898,0.0310825
160679,0.994133,0.0199088,0.9876,0.0333568
180800,0.9951,0.016888,0.9907,0.0293601
