Duration,Accuracy,Sample_Mean_Loss,Test_Accuracy,Test_Mean_loss
16014,0.791683,1.03773,0.9212,0.560209
34022,0.92975,0.253331,0.9524,0.169728
52061,0.953683,0.157353,0.9617,0.128585
70072,0.964617,0.12263,0.971,0.101868
88028,0.970617,0.101749,0.9739,0.0876741
106109,0.974033,0.0889623,0.9749,0.0809957
125070,0.976733,0.079581,0.9784,0.0696001
145210,0.978517,0.0725056,0.9794,0.0649446
163660,0.980583,0.0666856,0.9818,0.0611302
181681,0.981833,0.0617724,0.983,0.0569594
